Wavelength	Forrest	Cropland	Cloud	Ocean
412.691	53.62759	66.19122	76.46195	70.6823
442.559	47.280907	66.45199	73.67296	61.99853
489.882	35.135273	64.50155	66.50564	46.74277
509.819	31.699518	64.30902	64.30902	41.141926
559.694	27.073746	64.61501	61.191143	28.379854
619.601	17.776417	67.19174	57.071224	18.218576
664.573	13.956376	71.617165	57.9758	14.559007
680.821	13.050324	72.050835	58.022255	13.293153
708.329	24.333706	72.08001	65.75211	11.375077
753.371	63.70239	78.129005	94.739105	9.123859
761.508	20.052866	24.409485	29.05891	3.5935445
778.409	63.483547	76.208595	94.22999	7.9517903
864.876	56.8588	70.52879	87.74958	5.0613823
884.94	55.244736	68.819405	85.66566	4.6388245
900.0	37.145023	44.563168	51.633755	3.5407245
